CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
280fa6e41473        jason_5_1           99.75%              266.1MiB / 975.7MiB   27.28%              3.42MB / 330kB      6.19MB / 6.47MB     0
a16c3a3d388f        comm_3_1            1.91%               24.93MiB / 975.7MiB   2.56%               87.9kB / 86.9kB     14.5MB / 0B         0
916223eefd44        master_1_1          1.50%               58.94MiB / 975.7MiB   6.04%               321kB / 207kB       52.7MB / 8.19kB     0
3e98d67c8e8f        mavros_2_1          4.33%               53.32MiB / 975.7MiB   5.46%               4.7MB / 918kB       65.3MB / 0B         0
f4ad6a8b049f        hwbridge_4_1        35.55%              27.89MiB / 975.7MiB   2.86%               7MB / 12.2MB        11.2MB / 0B         0
ae6bd8c7d034        resin_supervisor    0.05%               43.73MiB / 975.7MiB   4.48%               0B / 0B             53.6MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
280fa6e41473        jason_5_1           103.22%             266.1MiB / 975.7MiB   27.28%              3.49MB / 365kB      6.19MB / 6.47MB     0
a16c3a3d388f        comm_3_1            1.74%               24.93MiB / 975.7MiB   2.56%               90.1kB / 89.3kB     14.5MB / 0B         0
916223eefd44        master_1_1          1.49%               58.94MiB / 975.7MiB   6.04%               321kB / 207kB       52.7MB / 8.19kB     0
3e98d67c8e8f        mavros_2_1          4.07%               53.32MiB / 975.7MiB   5.46%               4.72MB / 920kB      65.3MB / 0B         0
f4ad6a8b049f        hwbridge_4_1        35.49%              27.89MiB / 975.7MiB   2.86%               7.04MB / 12.3MB     11.2MB / 0B         0
ae6bd8c7d034        resin_supervisor    0.08%               43.73MiB / 975.7MiB   4.48%               0B / 0B             53.6MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
280fa6e41473        jason_5_1           123.97%             267.9MiB / 975.7MiB   27.46%              3.56MB / 404kB      6.19MB / 6.47MB     0
a16c3a3d388f        comm_3_1            1.80%               24.93MiB / 975.7MiB   2.56%               92.1kB / 91.7kB     14.5MB / 0B         0
916223eefd44        master_1_1          1.31%               58.94MiB / 975.7MiB   6.04%               321kB / 207kB       52.7MB / 8.19kB     0
3e98d67c8e8f        mavros_2_1          4.34%               53.32MiB / 975.7MiB   5.46%               4.73MB / 923kB      65.3MB / 0B         0
f4ad6a8b049f        hwbridge_4_1        32.87%              27.89MiB / 975.7MiB   2.86%               7.08MB / 12.3MB     11.2MB / 0B         0
ae6bd8c7d034        resin_supervisor    0.04%               43.73MiB / 975.7MiB   4.48%               0B / 0B             53.6MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
280fa6e41473        jason_5_1           88.29%              268.3MiB / 975.7MiB   27.50%              3.63MB / 440kB      6.19MB / 6.47MB     0
a16c3a3d388f        comm_3_1            1.79%               24.93MiB / 975.7MiB   2.56%               94.2kB / 94kB       14.5MB / 0B         0
916223eefd44        master_1_1          1.50%               58.94MiB / 975.7MiB   6.04%               321kB / 207kB       52.7MB / 8.19kB     0
3e98d67c8e8f        mavros_2_1          4.20%               53.32MiB / 975.7MiB   5.46%               4.75MB / 926kB      65.3MB / 0B         0
f4ad6a8b049f        hwbridge_4_1        34.72%              27.89MiB / 975.7MiB   2.86%               7.11MB / 12.4MB     11.2MB / 0B         0
ae6bd8c7d034        resin_supervisor    0.06%               43.73MiB / 975.7MiB   4.48%               0B / 0B             53.6MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
280fa6e41473        jason_5_1           94.64%              268.2MiB / 975.7MiB   27.49%              3.69MB / 472kB      6.19MB / 6.47MB     0
a16c3a3d388f        comm_3_1            1.54%               24.93MiB / 975.7MiB   2.56%               96.2kB / 96.4kB     14.5MB / 0B         0
916223eefd44        master_1_1          1.41%               58.94MiB / 975.7MiB   6.04%               321kB / 207kB       52.7MB / 8.19kB     0
3e98d67c8e8f        mavros_2_1          3.94%               53.32MiB / 975.7MiB   5.46%               4.77MB / 928kB      65.3MB / 0B         0
f4ad6a8b049f        hwbridge_4_1        30.01%              27.89MiB / 975.7MiB   2.86%               7.15MB / 12.5MB     11.2MB / 0B         0
ae6bd8c7d034        resin_supervisor    0.04%               43.73MiB / 975.7MiB   4.48%               0B / 0B             53.6MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
280fa6e41473        jason_5_1           81.69%              268.3MiB / 975.7MiB   27.50%              3.75MB / 504kB      6.19MB / 6.47MB     0
a16c3a3d388f        comm_3_1            1.71%               24.93MiB / 975.7MiB   2.56%               98.3kB / 98.7kB     14.5MB / 0B         0
916223eefd44        master_1_1          1.39%               58.94MiB / 975.7MiB   6.04%               321kB / 207kB       52.7MB / 8.19kB     0
3e98d67c8e8f        mavros_2_1          4.05%               53.32MiB / 975.7MiB   5.46%               4.79MB / 931kB      65.3MB / 0B         0
f4ad6a8b049f        hwbridge_4_1        32.98%              27.89MiB / 975.7MiB   2.86%               7.18MB / 12.5MB     11.2MB / 0B         0
ae6bd8c7d034        resin_supervisor    0.03%               43.73MiB / 975.7MiB   4.48%               0B / 0B             53.6MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
280fa6e41473        jason_5_1           92.94%              268.4MiB / 975.7MiB   27.51%              3.8MB / 531kB       6.19MB / 6.47MB     0
a16c3a3d388f        comm_3_1            1.83%               24.93MiB / 975.7MiB   2.56%               101kB / 101kB       14.5MB / 0B         0
916223eefd44        master_1_1          1.37%               58.94MiB / 975.7MiB   6.04%               321kB / 207kB       52.7MB / 8.19kB     0
3e98d67c8e8f        mavros_2_1          3.50%               53.32MiB / 975.7MiB   5.46%               4.81MB / 934kB      65.3MB / 0B         0
f4ad6a8b049f        hwbridge_4_1        28.50%              27.89MiB / 975.7MiB   2.86%               7.21MB / 12.6MB     11.2MB / 0B         0
ae6bd8c7d034        resin_supervisor    0.04%               43.73MiB / 975.7MiB   4.48%               0B / 0B             53.6MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
280fa6e41473        jason_5_1           55.02%              268.5MiB / 975.7MiB   27.52%              3.86MB / 561kB      6.19MB / 6.47MB     0
a16c3a3d388f        comm_3_1            1.76%               24.93MiB / 975.7MiB   2.56%               103kB / 104kB       14.5MB / 0B         0
916223eefd44        master_1_1          1.52%               58.94MiB / 975.7MiB   6.04%               321kB / 207kB       52.7MB / 8.19kB     0
3e98d67c8e8f        mavros_2_1          4.05%               53.32MiB / 975.7MiB   5.46%               4.82MB / 937kB      65.3MB / 0B         0
f4ad6a8b049f        hwbridge_4_1        34.90%              27.89MiB / 975.7MiB   2.86%               7.24MB / 12.6MB     11.2MB / 0B         0
ae6bd8c7d034        resin_supervisor    0.08%               43.73MiB / 975.7MiB   4.48%               0B / 0B             53.6MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
280fa6e41473        jason_5_1           81.81%              268.8MiB / 975.7MiB   27.55%              3.92MB / 595kB      6.19MB / 6.47MB     0
a16c3a3d388f        comm_3_1            1.72%               24.93MiB / 975.7MiB   2.56%               105kB / 106kB       14.5MB / 0B         0
916223eefd44        master_1_1          1.43%               58.94MiB / 975.7MiB   6.04%               321kB / 207kB       52.7MB / 8.19kB     0
3e98d67c8e8f        mavros_2_1          3.75%               53.32MiB / 975.7MiB   5.46%               4.84MB / 939kB      65.3MB / 0B         0
f4ad6a8b049f        hwbridge_4_1        33.98%              27.89MiB / 975.7MiB   2.86%               7.27MB / 12.7MB     11.2MB / 0B         0
ae6bd8c7d034        resin_supervisor    0.04%               43.73MiB / 975.7MiB   4.48%               0B / 0B             53.6MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
