CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bfc24b9c7c31        python_5_1          0.54%               22.28MiB / 975.7MiB   2.28%               33kB / 32.4kB       0B / 0B             0
40500eec6647        hwbridge_4_1        1.61%               28.9MiB / 975.7MiB    2.96%               822kB / 572kB       4.62MB / 475kB      0
0efc26fa528a        comm_3_1            0.32%               22.57MiB / 975.7MiB   2.31%               266kB / 264kB       98.3kB / 0B         0
9436368dd4fc        mavros_2_1          2.91%               58.77MiB / 975.7MiB   6.02%               4.92MB / 990kB      96.5MB / 0B         0
6de5cd5c81e8        master_1_1          0.94%               59.04MiB / 975.7MiB   6.05%               495kB / 273kB       40.8MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.02%               57.45MiB / 975.7MiB   5.89%               0B / 0B             125MB / 49.2kB      0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bfc24b9c7c31        python_5_1          0.48%               22.16MiB / 975.7MiB   2.27%               33.2kB / 32.4kB     0B / 0B             0
40500eec6647        hwbridge_4_1        1.37%               28.9MiB / 975.7MiB    2.96%               824kB / 573kB       4.62MB / 475kB      0
0efc26fa528a        comm_3_1            0.31%               22.57MiB / 975.7MiB   2.31%               266kB / 264kB       98.3kB / 0B         0
9436368dd4fc        mavros_2_1          2.64%               58.77MiB / 975.7MiB   6.02%               4.93MB / 993kB      96.5MB / 0B         0
6de5cd5c81e8        master_1_1          1.00%               59.04MiB / 975.7MiB   6.05%               495kB / 273kB       40.8MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.02%               57.45MiB / 975.7MiB   5.89%               0B / 0B             125MB / 49.2kB      0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bfc24b9c7c31        python_5_1          0.50%               22.16MiB / 975.7MiB   2.27%               33.3kB / 32.5kB     0B / 0B             0
40500eec6647        hwbridge_4_1        1.51%               28.9MiB / 975.7MiB    2.96%               827kB / 574kB       4.62MB / 475kB      0
0efc26fa528a        comm_3_1            0.31%               22.57MiB / 975.7MiB   2.31%               266kB / 264kB       98.3kB / 0B         0
9436368dd4fc        mavros_2_1          2.71%               58.77MiB / 975.7MiB   6.02%               4.95MB / 995kB      96.5MB / 0B         0
6de5cd5c81e8        master_1_1          1.05%               59.04MiB / 975.7MiB   6.05%               495kB / 273kB       40.8MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.02%               57.45MiB / 975.7MiB   5.89%               0B / 0B             125MB / 49.2kB      0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bfc24b9c7c31        python_5_1          0.84%               22.16MiB / 975.7MiB   2.27%               33.9kB / 32.9kB     0B / 0B             0
40500eec6647        hwbridge_4_1        1.46%               28.9MiB / 975.7MiB    2.96%               829kB / 576kB       4.62MB / 475kB      0
0efc26fa528a        comm_3_1            1.26%               22.57MiB / 975.7MiB   2.31%               267kB / 265kB       98.3kB / 0B         0
9436368dd4fc        mavros_2_1          2.55%               58.77MiB / 975.7MiB   6.02%               4.97MB / 998kB      96.5MB / 0B         0
6de5cd5c81e8        master_1_1          0.94%               59.04MiB / 975.7MiB   6.05%               495kB / 273kB       40.8MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.02%               57.45MiB / 975.7MiB   5.89%               0B / 0B             125MB / 49.2kB      0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bfc24b9c7c31        python_5_1          1.30%               22.17MiB / 975.7MiB   2.27%               34.9kB / 33.7kB     0B / 0B             0
40500eec6647        hwbridge_4_1        5.44%               29.02MiB / 975.7MiB   2.97%               840kB / 585kB       4.62MB / 475kB      0
0efc26fa528a        comm_3_1            1.05%               22.57MiB / 975.7MiB   2.31%               267kB / 265kB       98.3kB / 0B         0
9436368dd4fc        mavros_2_1          3.63%               58.77MiB / 975.7MiB   6.02%               4.99MB / 1.01MB     96.5MB / 0B         0
6de5cd5c81e8        master_1_1          3.17%               59.25MiB / 975.7MiB   6.07%               503kB / 278kB       40.8MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.02%               57.45MiB / 975.7MiB   5.89%               0B / 0B             125MB / 49.2kB      0
