CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
000be60b20b0        jason_5_1           17.52%              264.9MiB / 975.7MiB   27.15%              3.31MB / 240kB      139MB / 6.46MB      0
6b57706e8822        hwbridge_4_1        1.80%               25.15MiB / 975.7MiB   2.58%               1.9MB / 1.21MB      8.19kB / 0B         0
568dd920183e        comm_3_1            1.49%               22MiB / 975.7MiB      2.25%               107kB / 83.2kB      0B / 0B             0
7c5afbf70181        mavros_2_1          3.12%               52.27MiB / 975.7MiB   5.36%               2.27MB / 544kB      131kB / 0B          0
f50d4a92f28b        master_1_1          1.31%               54.77MiB / 975.7MiB   5.61%               750kB / 470kB       360kB / 8.19kB      0
ae6bd8c7d034        resin_supervisor    0.04%               56.52MiB / 975.7MiB   5.79%               0B / 0B             53.7MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
000be60b20b0        jason_5_1           27.46%              265.9MiB / 975.7MiB   27.25%              3.31MB / 242kB      139MB / 6.46MB      0
6b57706e8822        hwbridge_4_1        1.76%               25.15MiB / 975.7MiB   2.58%               1.9MB / 1.21MB      8.19kB / 0B         0
568dd920183e        comm_3_1            1.77%               22MiB / 975.7MiB      2.25%               109kB / 86.1kB      0B / 0B             0
7c5afbf70181        mavros_2_1          3.23%               52.27MiB / 975.7MiB   5.36%               2.29MB / 547kB      131kB / 0B          0
f50d4a92f28b        master_1_1          1.22%               54.77MiB / 975.7MiB   5.61%               750kB / 470kB       360kB / 8.19kB      0
ae6bd8c7d034        resin_supervisor    0.02%               56.52MiB / 975.7MiB   5.79%               0B / 0B             53.7MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
000be60b20b0        jason_5_1           16.27%              266.6MiB / 975.7MiB   27.33%              3.31MB / 243kB      139MB / 6.46MB      0
6b57706e8822        hwbridge_4_1        1.56%               25.15MiB / 975.7MiB   2.58%               1.9MB / 1.21MB      8.19kB / 0B         0
568dd920183e        comm_3_1            2.16%               22MiB / 975.7MiB      2.25%               112kB / 89.1kB      0B / 0B             0
7c5afbf70181        mavros_2_1          3.11%               52.27MiB / 975.7MiB   5.36%               2.31MB / 550kB      131kB / 0B          0
f50d4a92f28b        master_1_1          1.31%               54.77MiB / 975.7MiB   5.61%               750kB / 470kB       360kB / 8.19kB      0
ae6bd8c7d034        resin_supervisor    0.02%               56.52MiB / 975.7MiB   5.79%               0B / 0B             53.7MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
000be60b20b0        jason_5_1           18.79%              266.6MiB / 975.7MiB   27.33%              3.31MB / 245kB      139MB / 6.46MB      0
6b57706e8822        hwbridge_4_1        1.40%               25.15MiB / 975.7MiB   2.58%               1.9MB / 1.21MB      8.19kB / 0B         0
568dd920183e        comm_3_1            1.99%               22.12MiB / 975.7MiB   2.27%               115kB / 92kB        8.19kB / 0B         0
7c5afbf70181        mavros_2_1          3.23%               52.27MiB / 975.7MiB   5.36%               2.33MB / 552kB      131kB / 0B          0
f50d4a92f28b        master_1_1          1.33%               54.77MiB / 975.7MiB   5.61%               750kB / 470kB       360kB / 8.19kB      0
ae6bd8c7d034        resin_supervisor    0.02%               56.52MiB / 975.7MiB   5.79%               0B / 0B             53.7MB / 98.3kB     0
