CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           17.90%              264.8MiB / 975.7MiB   27.14%              3.3MB / 228kB       148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        1.57%               27.72MiB / 975.7MiB   2.84%               4.1MB / 2.63MB      5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.49%               22.24MiB / 975.7MiB   2.28%               334kB / 298kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.20%               52.29MiB / 975.7MiB   5.36%               2.99MB / 657kB      1.48MB / 0B         0
cfe92d1892a3        master_1_1          1.15%               58.59MiB / 975.7MiB   6.01%               1.06MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    4.28%               50.5MiB / 975.7MiB    5.18%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           22.95%              264.7MiB / 975.7MiB   27.13%              3.3MB / 228kB       148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        1.56%               27.72MiB / 975.7MiB   2.84%               4.11MB / 2.64MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.37%               22.24MiB / 975.7MiB   2.28%               334kB / 298kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.18%               52.29MiB / 975.7MiB   5.36%               3.01MB / 661kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.21%               58.59MiB / 975.7MiB   6.01%               1.06MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    0.13%               50.55MiB / 975.7MiB   5.18%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           24.06%              264.7MiB / 975.7MiB   27.13%              3.3MB / 229kB       148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        2.29%               27.72MiB / 975.7MiB   2.84%               4.11MB / 2.64MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.41%               22.24MiB / 975.7MiB   2.28%               335kB / 298kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.44%               52.29MiB / 975.7MiB   5.36%               3.03MB / 667kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.33%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    9.21%               50.67MiB / 975.7MiB   5.19%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           25.94%              264.7MiB / 975.7MiB   27.13%              3.31MB / 230kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        2.52%               27.72MiB / 975.7MiB   2.84%               4.11MB / 2.64MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.37%               22.24MiB / 975.7MiB   2.28%               335kB / 298kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.15%               52.29MiB / 975.7MiB   5.36%               3.05MB / 669kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.17%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    0.07%               50.55MiB / 975.7MiB   5.18%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           27.65%              265.4MiB / 975.7MiB   27.20%              3.31MB / 231kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        2.22%               27.72MiB / 975.7MiB   2.84%               4.12MB / 2.64MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.36%               22.24MiB / 975.7MiB   2.28%               335kB / 298kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.09%               52.29MiB / 975.7MiB   5.36%               3.07MB / 672kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.13%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    0.04%               50.55MiB / 975.7MiB   5.18%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           19.83%              266.7MiB / 975.7MiB   27.33%              3.31MB / 232kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        2.22%               27.72MiB / 975.7MiB   2.84%               4.12MB / 2.65MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.84%               22.24MiB / 975.7MiB   2.28%               335kB / 299kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.70%               52.29MiB / 975.7MiB   5.36%               3.09MB / 675kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.20%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    4.80%               50.27MiB / 975.7MiB   5.15%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           18.49%              266.8MiB / 975.7MiB   27.34%              3.31MB / 233kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        2.14%               27.72MiB / 975.7MiB   2.84%               4.12MB / 2.65MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.69%               22.24MiB / 975.7MiB   2.28%               336kB / 299kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.14%               52.29MiB / 975.7MiB   5.36%               3.11MB / 677kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.18%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    0.05%               50.27MiB / 975.7MiB   5.15%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           27.56%              266.8MiB / 975.7MiB   27.34%              3.31MB / 234kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        1.74%               27.72MiB / 975.7MiB   2.84%               4.13MB / 2.65MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.35%               22.24MiB / 975.7MiB   2.28%               336kB / 299kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.05%               52.29MiB / 975.7MiB   5.36%               3.12MB / 680kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.14%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    0.02%               50.27MiB / 975.7MiB   5.15%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           12.96%              267.2MiB / 975.7MiB   27.38%              3.31MB / 235kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        1.86%               27.72MiB / 975.7MiB   2.84%               4.13MB / 2.65MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.33%               22.24MiB / 975.7MiB   2.28%               336kB / 299kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.15%               52.29MiB / 975.7MiB   5.36%               3.14MB / 683kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.12%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    0.02%               50.27MiB / 975.7MiB   5.15%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           12.01%              266.8MiB / 975.7MiB   27.35%              3.31MB / 235kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        2.11%               27.72MiB / 975.7MiB   2.84%               4.13MB / 2.66MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.34%               22.24MiB / 975.7MiB   2.28%               336kB / 299kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.13%               52.29MiB / 975.7MiB   5.36%               3.16MB / 685kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.22%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    0.02%               50.27MiB / 975.7MiB   5.15%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           25.66%              266.7MiB / 975.7MiB   27.34%              3.32MB / 236kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        2.10%               27.72MiB / 975.7MiB   2.84%               4.14MB / 2.66MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.80%               22.24MiB / 975.7MiB   2.28%               336kB / 300kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          2.96%               52.29MiB / 975.7MiB   5.36%               3.18MB / 688kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.15%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    4.75%               50.27MiB / 975.7MiB   5.15%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           10.15%              266.7MiB / 975.7MiB   27.34%              3.32MB / 238kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        2.06%               27.72MiB / 975.7MiB   2.84%               4.14MB / 2.66MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.32%               22.24MiB / 975.7MiB   2.28%               336kB / 300kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.05%               52.29MiB / 975.7MiB   5.36%               3.2MB / 691kB       1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.20%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    0.02%               50.27MiB / 975.7MiB   5.15%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           10.34%              266.9MiB / 975.7MiB   27.35%              3.32MB / 239kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        2.22%               27.72MiB / 975.7MiB   2.84%               4.14MB / 2.67MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.36%               22.24MiB / 975.7MiB   2.28%               337kB / 301kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.06%               52.29MiB / 975.7MiB   5.36%               3.22MB / 693kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.19%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    0.02%               50.27MiB / 975.7MiB   5.15%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           11.48%              266.7MiB / 975.7MiB   27.34%              3.32MB / 239kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        2.23%               27.72MiB / 975.7MiB   2.84%               4.15MB / 2.67MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.35%               22.24MiB / 975.7MiB   2.28%               337kB / 301kB       2.79MB / 0B         0
68b2ef89e743        mavros_2_1          3.37%               52.29MiB / 975.7MiB   5.36%               3.24MB / 696kB      1.56MB / 0B         0
cfe92d1892a3        master_1_1          1.19%               58.59MiB / 975.7MiB   6.01%               1.07MB / 606kB      46MB / 0B           0
612e53e59fe1        resin_supervisor    0.02%               50.27MiB / 975.7MiB   5.15%               0B / 0B             55.1MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9ef21c6d2636        jason_5_1           11.77%              266.7MiB / 975.7MiB   27.34%              3.32MB / 240kB      148MB / 6.46MB      0
b2e6bfd96d46        hwbridge_4_1        2.24%               27.72MiB / 975.7MiB   2.84%               4.15MB / 2.67MB     5.48MB / 0B         0
b168af43f1ae        comm_3_1            0.36%               22.24MiB / 975.7MiB   2.28%               337kB / 301kB       2.79MB / 0B         0
