CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
d542fa8f2f80        jason_4_1           74.40%              260.1MiB / 975.7MiB   26.66%              1.93MB / 231kB      30.3MB / 3.28MB     0
b844780870ae        hwbridge_3_1        30.50%              27.69MiB / 975.7MiB   2.84%               189kB / 189kB       8.43MB / 0B         0
b9e1627c2290        mavros_2_1          3.35%               53.52MiB / 975.7MiB   5.49%               2.06MB / 511kB      65.8MB / 0B         0
4385367a41dd        master_1_1          1.36%               59.26MiB / 975.7MiB   6.07%               395kB / 249kB       54.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    6.04%               43.26MiB / 975.7MiB   4.43%               0B / 0B             53.5MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
d542fa8f2f80        jason_4_1           84.45%              260.4MiB / 975.7MiB   26.68%              1.99MB / 262kB      30.3MB / 3.28MB     0
b844780870ae        hwbridge_3_1        29.22%              27.69MiB / 975.7MiB   2.84%               223kB / 250kB       8.43MB / 0B         0
b9e1627c2290        mavros_2_1          3.76%               53.52MiB / 975.7MiB   5.49%               2.08MB / 517kB      65.8MB / 0B         0
4385367a41dd        master_1_1          1.26%               59.26MiB / 975.7MiB   6.07%               395kB / 249kB       54.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.05%               43.26MiB / 975.7MiB   4.43%               0B / 0B             53.5MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
d542fa8f2f80        jason_4_1           68.26%              260.4MiB / 975.7MiB   26.69%              2.05MB / 295kB      30.3MB / 3.28MB     0
b844780870ae        hwbridge_3_1        30.32%              27.69MiB / 975.7MiB   2.84%               258kB / 313kB       8.43MB / 0B         0
b9e1627c2290        mavros_2_1          3.82%               53.52MiB / 975.7MiB   5.49%               2.1MB / 520kB       65.8MB / 0B         0
4385367a41dd        master_1_1          1.30%               59.26MiB / 975.7MiB   6.07%               398kB / 249kB       54.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.03%               43.35MiB / 975.7MiB   4.44%               0B / 0B             53.5MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
d542fa8f2f80        jason_4_1           64.95%              261.2MiB / 975.7MiB   26.77%              2.12MB / 333kB      30.3MB / 3.28MB     0
b844780870ae        hwbridge_3_1        29.36%              27.69MiB / 975.7MiB   2.84%               300kB / 389kB       8.43MB / 0B         0
b9e1627c2290        mavros_2_1          3.76%               53.52MiB / 975.7MiB   5.49%               2.12MB / 522kB      65.8MB / 0B         0
4385367a41dd        master_1_1          1.24%               59.26MiB / 975.7MiB   6.07%               398kB / 249kB       54.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.03%               43.35MiB / 975.7MiB   4.44%               0B / 0B             53.5MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
d542fa8f2f80        jason_4_1           95.46%              261.6MiB / 975.7MiB   26.81%              2.17MB / 360kB      30.3MB / 3.28MB     0
b844780870ae        hwbridge_3_1        28.66%              27.73MiB / 975.7MiB   2.84%               330kB / 444kB       8.43MB / 0B         0
b9e1627c2290        mavros_2_1          3.74%               53.54MiB / 975.7MiB   5.49%               2.14MB / 527kB      65.8MB / 0B         0
4385367a41dd        master_1_1          1.34%               59.26MiB / 975.7MiB   6.07%               399kB / 251kB       54.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.03%               43.35MiB / 975.7MiB   4.44%               0B / 0B             53.5MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
d542fa8f2f80        jason_4_1           64.01%              261.8MiB / 975.7MiB   26.83%              2.23MB / 388kB      30.3MB / 3.28MB     0
b844780870ae        hwbridge_3_1        31.50%              27.73MiB / 975.7MiB   2.84%               361kB / 500kB       8.43MB / 0B         0
b9e1627c2290        mavros_2_1          3.68%               53.54MiB / 975.7MiB   5.49%               2.16MB / 530kB      65.8MB / 0B         0
4385367a41dd        master_1_1          1.24%               59.26MiB / 975.7MiB   6.07%               400kB / 251kB       54.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.03%               43.35MiB / 975.7MiB   4.44%               0B / 0B             53.5MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
d542fa8f2f80        jason_4_1           69.12%              262.1MiB / 975.7MiB   26.86%              2.29MB / 418kB      30.3MB / 3.28MB     0
b844780870ae        hwbridge_3_1        32.71%              27.73MiB / 975.7MiB   2.84%               394kB / 558kB       8.43MB / 0B         0
b9e1627c2290        mavros_2_1          4.26%               53.54MiB / 975.7MiB   5.49%               2.18MB / 533kB      65.8MB / 0B         0
