CONTAINER           NAME                   CPU                 MEM USAGE / LIMIT     MEM                 NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  34.25%              258MiB / 975.7MiB     26.44%              1.83MB / 188kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 3.38%               57.05MiB / 975.7MiB   5.85%               14.7MB / 2.51MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               2.71%               29.01MiB / 975.7MiB   2.97%               2.14MB / 1.26MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.84%               54.89MiB / 975.7MiB   5.63%               600kB / 288kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.87MiB / 975.7MiB   4.60%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  8.70%               258MiB / 975.7MiB     26.44%              1.83MB / 189kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.88%               57.05MiB / 975.7MiB   5.85%               14.7MB / 2.51MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.29%               29.01MiB / 975.7MiB   2.97%               2.14MB / 1.26MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.00%               54.65MiB / 975.7MiB   5.60%               600kB / 288kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.87MiB / 975.7MiB   4.60%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  14.46%              258.2MiB / 975.7MiB   26.46%              1.83MB / 190kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 4.01%               57.05MiB / 975.7MiB   5.85%               14.8MB / 2.52MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               4.25%               29.13MiB / 975.7MiB   2.99%               2.15MB / 1.27MB     22.7MB / 0B         0
dbd9a2f86636        master                 2.80%               54.66MiB / 975.7MiB   5.60%               605kB / 291kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.87MiB / 975.7MiB   4.60%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  8.39%               258.1MiB / 975.7MiB   26.45%              1.83MB / 190kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.72%               57.05MiB / 975.7MiB   5.85%               14.8MB / 2.52MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.28%               29.01MiB / 975.7MiB   2.97%               2.15MB / 1.27MB     22.7MB / 0B         0
dbd9a2f86636        master                 0.97%               54.66MiB / 975.7MiB   5.60%               605kB / 291kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.02%               44.87MiB / 975.7MiB   4.60%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  13.44%              258.1MiB / 975.7MiB   26.45%              1.83MB / 191kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.77%               57.05MiB / 975.7MiB   5.85%               14.8MB / 2.52MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.42%               29.01MiB / 975.7MiB   2.97%               2.16MB / 1.28MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.06%               54.66MiB / 975.7MiB   5.60%               605kB / 291kB       10.7MB / 0B         0
7a2322e353f5        main_1_1               0.00%               1.289MiB / 975.7MiB   0.13%               0B / 0B             0B / 0B             0
226bdcdd28cc        suspicious_chaplygin   0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
c7509951685c        resin_supervisor       0.98%               44.87MiB / 975.7MiB   4.60%               0B / 0B             58.2MB / 5.41MB     0
CONTAINER ID        NAME                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
35fb876c7dbb        jason                  7.99%               258.1MiB / 975.7MiB   26.45%              1.83MB / 191kB      0B / 3.29MB         0
da51bb04fdc7        mavros                 2.80%               57.05MiB / 975.7MiB   5.85%               14.8MB / 2.53MB     44.6MB / 0B         0
e3b64a0ab9fd        hwbridge               1.31%               29.01MiB / 975.7MiB   2.97%               2.16MB / 1.28MB     22.7MB / 0B         0
dbd9a2f86636        master                 1.07%               54.66MiB / 975.7MiB   5.60%               608kB / 291kB       10.7MB / 0B         0
