CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bc004ae1055f        python_4_1          0.41%               24.12MiB / 975.7MiB   2.47%               19.5kB / 18.7kB     8.13MB / 0B         0
1eb2452d54cc        stoic_albattani     0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
d7f70a6e73c9        hwbridge_3_1        6.66%               28.13MiB / 975.7MiB   2.88%               758kB / 468kB       11.6MB / 0B         0
4a2e0cbc7f96        mavros_2_1          2.70%               53.2MiB / 975.7MiB    5.45%               5.1MB / 1.32MB      73.1MB / 0B         0
924ce121d5f6        master_1_1          1.10%               57.33MiB / 975.7MiB   5.88%               757kB / 248kB       49.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.09%               46.89MiB / 975.7MiB   4.81%               0B / 0B             58.8MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bc004ae1055f        python_4_1          0.90%               24.12MiB / 975.7MiB   2.47%               20.6kB / 19.2kB     8.13MB / 0B         0
1eb2452d54cc        stoic_albattani     0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
d7f70a6e73c9        hwbridge_3_1        6.83%               28.13MiB / 975.7MiB   2.88%               761kB / 470kB       11.6MB / 0B         0
4a2e0cbc7f96        mavros_2_1          2.74%               53.2MiB / 975.7MiB    5.45%               5.12MB / 1.32MB     73.1MB / 0B         0
924ce121d5f6        master_1_1          1.05%               57.33MiB / 975.7MiB   5.88%               757kB / 248kB       49.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.03%               46.89MiB / 975.7MiB   4.81%               0B / 0B             58.8MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bc004ae1055f        python_4_1          0.76%               24.12MiB / 975.7MiB   2.47%               22.1kB / 20kB       8.13MB / 0B         0
1eb2452d54cc        stoic_albattani     0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
d7f70a6e73c9        hwbridge_3_1        6.66%               28.13MiB / 975.7MiB   2.88%               764kB / 473kB       11.6MB / 0B         0
4a2e0cbc7f96        mavros_2_1          2.89%               53.2MiB / 975.7MiB    5.45%               5.13MB / 1.33MB     73.1MB / 0B         0
924ce121d5f6        master_1_1          1.06%               57.33MiB / 975.7MiB   5.88%               759kB / 248kB       49.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.03%               46.89MiB / 975.7MiB   4.81%               0B / 0B             58.8MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bc004ae1055f        python_4_1          0.91%               24.12MiB / 975.7MiB   2.47%               23.2kB / 20.7kB     8.13MB / 0B         0
1eb2452d54cc        stoic_albattani     0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
d7f70a6e73c9        hwbridge_3_1        7.08%               28.13MiB / 975.7MiB   2.88%               768kB / 475kB       11.7MB / 0B         0
4a2e0cbc7f96        mavros_2_1          2.83%               53.2MiB / 975.7MiB    5.45%               5.15MB / 1.33MB     73.1MB / 0B         0
924ce121d5f6        master_1_1          1.13%               57.33MiB / 975.7MiB   5.88%               759kB / 248kB       49.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.03%               46.89MiB / 975.7MiB   4.81%               0B / 0B             58.8MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bc004ae1055f        python_4_1          0.81%               24.12MiB / 975.7MiB   2.47%               24.9kB / 21.7kB     8.13MB / 0B         0
1eb2452d54cc        stoic_albattani     0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
d7f70a6e73c9        hwbridge_3_1        6.97%               28.13MiB / 975.7MiB   2.88%               771kB / 478kB       11.7MB / 0B         0
4a2e0cbc7f96        mavros_2_1          3.03%               53.2MiB / 975.7MiB    5.45%               5.17MB / 1.33MB     73.1MB / 0B         0
924ce121d5f6        master_1_1          1.06%               57.33MiB / 975.7MiB   5.88%               759kB / 248kB       49.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.03%               46.89MiB / 975.7MiB   4.81%               0B / 0B             58.8MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bc004ae1055f        python_4_1          0.64%               24.12MiB / 975.7MiB   2.47%               26.2kB / 22.3kB     8.13MB / 0B         0
1eb2452d54cc        stoic_albattani     0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
d7f70a6e73c9        hwbridge_3_1        6.81%               28.13MiB / 975.7MiB   2.88%               774kB / 481kB       11.7MB / 0B         0
4a2e0cbc7f96        mavros_2_1          2.76%               53.2MiB / 975.7MiB    5.45%               5.19MB / 1.34MB     73.1MB / 0B         0
924ce121d5f6        master_1_1          1.07%               57.33MiB / 975.7MiB   5.88%               759kB / 248kB       49.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.03%               46.89MiB / 975.7MiB   4.81%               0B / 0B             58.8MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bc004ae1055f        python_4_1          0.63%               24.12MiB / 975.7MiB   2.47%               27.5kB / 23.1kB     8.13MB / 0B         0
1eb2452d54cc        stoic_albattani     0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
d7f70a6e73c9        hwbridge_3_1        6.86%               28.13MiB / 975.7MiB   2.88%               778kB / 483kB       11.7MB / 0B         0
4a2e0cbc7f96        mavros_2_1          2.84%               53.2MiB / 975.7MiB    5.45%               5.21MB / 1.34MB     73.1MB / 0B         0
924ce121d5f6        master_1_1          1.09%               57.33MiB / 975.7MiB   5.88%               759kB / 248kB       49.5MB / 8.19kB     0
d1de42f0a768        resin_supervisor    0.08%               46.89MiB / 975.7MiB   4.81%               0B / 0B             58.8MB / 98.3kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
bc004ae1055f        python_4_1          0.85%               24.12MiB / 975.7MiB   2.47%               28.9kB / 23.9kB     8.13MB / 0B         0
1eb2452d54cc        stoic_albattani     0.00%               0B / 0B               0.00%               0B / 0B             0B / 0B             0
