CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
dc0abd738255        python_5_1          0.53%               22.22MiB / 975.7MiB   2.28%               36.1kB / 35.3kB     0B / 0B             0
6b57706e8822        hwbridge_4_1        1.34%               24.92MiB / 975.7MiB   2.55%               426kB / 330kB       0B / 0B             0
568dd920183e        comm_3_1            0.33%               21.96MiB / 975.7MiB   2.25%               67.9kB / 63.7kB     0B / 0B             0
7c5afbf70181        mavros_2_1          2.92%               52.27MiB / 975.7MiB   5.36%               2.73MB / 614kB      0B / 0B             0
f50d4a92f28b        master_1_1          1.00%               54.01MiB / 975.7MiB   5.54%               371kB / 226kB       0B / 8.19kB         0
ae6bd8c7d034        resin_supervisor    0.13%               49.07MiB / 975.7MiB   5.03%               0B / 0B             53.7MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
dc0abd738255        python_5_1          0.49%               22.22MiB / 975.7MiB   2.28%               36.1kB / 35.3kB     0B / 0B             0
6b57706e8822        hwbridge_4_1        1.44%               24.92MiB / 975.7MiB   2.55%               429kB / 331kB       0B / 0B             0
568dd920183e        comm_3_1            0.28%               21.96MiB / 975.7MiB   2.25%               68kB / 63.7kB       0B / 0B             0
7c5afbf70181        mavros_2_1          2.69%               52.27MiB / 975.7MiB   5.36%               2.74MB / 616kB      0B / 0B             0
f50d4a92f28b        master_1_1          0.98%               54.01MiB / 975.7MiB   5.54%               371kB / 226kB       0B / 8.19kB         0
ae6bd8c7d034        resin_supervisor    0.02%               49.07MiB / 975.7MiB   5.03%               0B / 0B             53.7MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
dc0abd738255        python_5_1          0.50%               22.22MiB / 975.7MiB   2.28%               36.2kB / 35.4kB     0B / 0B             0
6b57706e8822        hwbridge_4_1        1.66%               24.92MiB / 975.7MiB   2.55%               432kB / 332kB       0B / 0B             0
568dd920183e        comm_3_1            0.39%               21.96MiB / 975.7MiB   2.25%               68kB / 63.7kB       0B / 0B             0
7c5afbf70181        mavros_2_1          2.79%               52.27MiB / 975.7MiB   5.36%               2.76MB / 619kB      0B / 0B             0
f50d4a92f28b        master_1_1          1.00%               54.01MiB / 975.7MiB   5.54%               371kB / 226kB       0B / 8.19kB         0
ae6bd8c7d034        resin_supervisor    0.02%               49.07MiB / 975.7MiB   5.03%               0B / 0B             53.7MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
dc0abd738255        python_5_1          0.48%               22.22MiB / 975.7MiB   2.28%               36.4kB / 35.4kB     0B / 0B             0
6b57706e8822        hwbridge_4_1        1.51%               24.92MiB / 975.7MiB   2.55%               434kB / 334kB       0B / 0B             0
568dd920183e        comm_3_1            0.29%               21.96MiB / 975.7MiB   2.25%               68kB / 63.7kB       0B / 0B             0
7c5afbf70181        mavros_2_1          2.88%               52.27MiB / 975.7MiB   5.36%               2.78MB / 622kB      0B / 0B             0
f50d4a92f28b        master_1_1          1.01%               54.01MiB / 975.7MiB   5.54%               371kB / 226kB       0B / 8.19kB         0
ae6bd8c7d034        resin_supervisor    0.02%               49.07MiB / 975.7MiB   5.03%               0B / 0B             53.7MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
dc0abd738255        python_5_1          0.89%               22.35MiB / 975.7MiB   2.29%               37.2kB / 35.9kB     0B / 0B             0
6b57706e8822        hwbridge_4_1        1.51%               24.92MiB / 975.7MiB   2.55%               437kB / 335kB       0B / 0B             0
568dd920183e        comm_3_1            1.43%               21.96MiB / 975.7MiB   2.25%               68.8kB / 64.9kB     0B / 0B             0
7c5afbf70181        mavros_2_1          2.94%               52.27MiB / 975.7MiB   5.36%               2.8MB / 624kB       0B / 0B             0
f50d4a92f28b        master_1_1          1.06%               54.01MiB / 975.7MiB   5.54%               371kB / 226kB       0B / 8.19kB         0
ae6bd8c7d034        resin_supervisor    0.02%               49.07MiB / 975.7MiB   5.03%               0B / 0B             53.7MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
dc0abd738255        python_5_1          0.60%               22.23MiB / 975.7MiB   2.28%               37.4kB / 36kB       0B / 0B             0
6b57706e8822        hwbridge_4_1        1.51%               24.92MiB / 975.7MiB   2.55%               439kB / 336kB       0B / 0B             0
568dd920183e        comm_3_1            0.50%               21.96MiB / 975.7MiB   2.25%               68.9kB / 65.1kB     0B / 0B             0
7c5afbf70181        mavros_2_1          3.15%               52.27MiB / 975.7MiB   5.36%               2.82MB / 627kB      0B / 0B             0
f50d4a92f28b        master_1_1          1.12%               54.01MiB / 975.7MiB   5.54%               371kB / 226kB       0B / 8.19kB         0
ae6bd8c7d034        resin_supervisor    13.05%              49.09MiB / 975.7MiB   5.03%               0B / 0B             53.7MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
dc0abd738255        python_5_1          0.47%               22.23MiB / 975.7MiB   2.28%               37.4kB / 36kB       0B / 0B             0
6b57706e8822        hwbridge_4_1        1.38%               24.92MiB / 975.7MiB   2.55%               442kB / 338kB       0B / 0B             0
568dd920183e        comm_3_1            0.31%               21.96MiB / 975.7MiB   2.25%               69.2kB / 65.1kB     0B / 0B             0
7c5afbf70181        mavros_2_1          2.81%               52.27MiB / 975.7MiB   5.36%               2.83MB / 630kB      0B / 0B             0
f50d4a92f28b        master_1_1          1.02%               54.01MiB / 975.7MiB   5.54%               371kB / 226kB       0B / 8.19kB         0
ae6bd8c7d034        resin_supervisor    0.02%               49.1MiB / 975.7MiB    5.03%               0B / 0B             53.7MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
dc0abd738255        python_5_1          0.46%               22.23MiB / 975.7MiB   2.28%               37.6kB / 36.1kB     0B / 0B             0
6b57706e8822        hwbridge_4_1        1.07%               24.92MiB / 975.7MiB   2.55%               444kB / 339kB       0B / 0B             0
568dd920183e        comm_3_1            0.29%               21.96MiB / 975.7MiB   2.25%               69.2kB / 65.1kB     0B / 0B             0
7c5afbf70181        mavros_2_1          2.40%               52.27MiB / 975.7MiB   5.36%               2.85MB / 632kB      0B / 0B             0
f50d4a92f28b        master_1_1          0.88%               54.01MiB / 975.7MiB   5.54%               371kB / 226kB       0B / 8.19kB         0
ae6bd8c7d034        resin_supervisor    0.02%               49.1MiB / 975.7MiB    5.03%               0B / 0B             53.7MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
dc0abd738255        python_5_1          0.60%               22.23MiB / 975.7MiB   2.28%               37.6kB / 36.1kB     0B / 0B             0
6b57706e8822        hwbridge_4_1        1.49%               24.92MiB / 975.7MiB   2.55%               447kB / 340kB       0B / 0B             0
568dd920183e        comm_3_1            0.29%               21.96MiB / 975.7MiB   2.25%               69.2kB / 65.1kB     0B / 0B             0
7c5afbf70181        mavros_2_1          2.81%               52.27MiB / 975.7MiB   5.36%               2.87MB / 635kB      0B / 0B             0
f50d4a92f28b        master_1_1          1.03%               54.01MiB / 975.7MiB   5.54%               371kB / 226kB       0B / 8.19kB         0
ae6bd8c7d034        resin_supervisor    0.02%               49.1MiB / 975.7MiB    5.03%               0B / 0B             53.7MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
dc0abd738255        python_5_1          0.72%               22.23MiB / 975.7MiB   2.28%               38.1kB / 36.5kB     0B / 0B             0
6b57706e8822        hwbridge_4_1        1.31%               24.92MiB / 975.7MiB   2.55%               449kB / 342kB       0B / 0B             0
568dd920183e        comm_3_1            1.05%               21.96MiB / 975.7MiB   2.25%               69.7kB / 66kB       0B / 0B             0
7c5afbf70181        mavros_2_1          2.82%               52.27MiB / 975.7MiB   5.36%               2.89MB / 638kB      0B / 0B             0
f50d4a92f28b        master_1_1          0.95%               54.01MiB / 975.7MiB   5.54%               371kB / 226kB       0B / 8.19kB         0
