CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          0.90%               21.95MiB / 975.7MiB   2.25%               30.4kB / 28.1kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        2.15%               28.75MiB / 975.7MiB   2.95%               2.56MB / 1.74MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.30%               23.58MiB / 975.7MiB   2.42%               276kB / 277kB       0B / 0B             0
68b2ef89e743        mavros_2_1          3.16%               59.01MiB / 975.7MiB   6.05%               16.5MB / 2.72MB     97MB / 0B           0
cfe92d1892a3        master_1_1          1.18%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    11.41%              49.96MiB / 975.7MiB   5.12%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          0.75%               21.95MiB / 975.7MiB   2.25%               31.7kB / 28.8kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        1.96%               28.75MiB / 975.7MiB   2.95%               2.56MB / 1.74MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.30%               23.58MiB / 975.7MiB   2.42%               276kB / 277kB       0B / 0B             0
68b2ef89e743        mavros_2_1          2.75%               59.01MiB / 975.7MiB   6.05%               16.5MB / 2.72MB     97MB / 0B           0
cfe92d1892a3        master_1_1          1.06%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.02%               49.84MiB / 975.7MiB   5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          1.10%               21.95MiB / 975.7MiB   2.25%               33.7kB / 30kB       0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        1.95%               28.75MiB / 975.7MiB   2.95%               2.56MB / 1.75MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.29%               23.58MiB / 975.7MiB   2.42%               276kB / 277kB       0B / 0B             0
68b2ef89e743        mavros_2_1          3.05%               59.01MiB / 975.7MiB   6.05%               16.5MB / 2.73MB     97MB / 0B           0
cfe92d1892a3        master_1_1          0.94%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.02%               49.84MiB / 975.7MiB   5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          0.94%               21.95MiB / 975.7MiB   2.25%               36kB / 31.3kB       0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        2.11%               28.75MiB / 975.7MiB   2.95%               2.57MB / 1.75MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.32%               23.58MiB / 975.7MiB   2.42%               276kB / 278kB       0B / 0B             0
68b2ef89e743        mavros_2_1          3.01%               59.01MiB / 975.7MiB   6.05%               16.6MB / 2.73MB     97MB / 0B           0
cfe92d1892a3        master_1_1          1.09%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    5.00%               49.84MiB / 975.7MiB   5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          0.88%               21.95MiB / 975.7MiB   2.25%               37.8kB / 32.3kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        2.20%               28.75MiB / 975.7MiB   2.95%               2.57MB / 1.75MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.33%               23.58MiB / 975.7MiB   2.42%               277kB / 279kB       0B / 0B             0
68b2ef89e743        mavros_2_1          2.90%               59.01MiB / 975.7MiB   6.05%               16.6MB / 2.73MB     97MB / 0B           0
cfe92d1892a3        master_1_1          1.00%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.07%               49.84MiB / 975.7MiB   5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          1.05%               21.95MiB / 975.7MiB   2.25%               39.8kB / 33.3kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        2.25%               28.75MiB / 975.7MiB   2.95%               2.57MB / 1.76MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.32%               23.58MiB / 975.7MiB   2.42%               277kB / 279kB       0B / 0B             0
68b2ef89e743        mavros_2_1          3.18%               59.01MiB / 975.7MiB   6.05%               16.6MB / 2.73MB     97MB / 0B           0
cfe92d1892a3        master_1_1          0.95%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.02%               49.84MiB / 975.7MiB   5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          0.71%               21.95MiB / 975.7MiB   2.25%               41.2kB / 34.1kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        1.64%               28.75MiB / 975.7MiB   2.95%               2.58MB / 1.76MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.27%               23.58MiB / 975.7MiB   2.42%               277kB / 279kB       0B / 0B             0
68b2ef89e743        mavros_2_1          2.47%               59.01MiB / 975.7MiB   6.05%               16.6MB / 2.74MB     97MB / 0B           0
cfe92d1892a3        master_1_1          0.94%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.02%               49.84MiB / 975.7MiB   5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          0.94%               21.95MiB / 975.7MiB   2.25%               43.1kB / 35.1kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        1.93%               28.75MiB / 975.7MiB   2.95%               2.58MB / 1.76MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.30%               23.58MiB / 975.7MiB   2.42%               277kB / 279kB       0B / 0B             0
68b2ef89e743        mavros_2_1          2.82%               59.01MiB / 975.7MiB   6.05%               16.6MB / 2.74MB     97MB / 0B           0
cfe92d1892a3        master_1_1          1.07%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.02%               49.84MiB / 975.7MiB   5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          1.38%               21.95MiB / 975.7MiB   2.25%               45.6kB / 36.5kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        2.44%               28.75MiB / 975.7MiB   2.95%               2.58MB / 1.77MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.95%               23.58MiB / 975.7MiB   2.42%               277kB / 280kB       0B / 0B             0
68b2ef89e743        mavros_2_1          3.40%               59.01MiB / 975.7MiB   6.05%               16.6MB / 2.74MB     97MB / 0B           0
cfe92d1892a3        master_1_1          1.04%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    11.49%              50MiB / 975.7MiB      5.12%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          1.09%               21.95MiB / 975.7MiB   2.25%               47.7kB / 37.8kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        1.97%               28.75MiB / 975.7MiB   2.95%               2.59MB / 1.77MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.51%               23.58MiB / 975.7MiB   2.42%               278kB / 280kB       0B / 0B             0
68b2ef89e743        mavros_2_1          2.68%               59.01MiB / 975.7MiB   6.05%               16.7MB / 2.75MB     97MB / 0B           0
cfe92d1892a3        master_1_1          0.98%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.02%               49.9MiB / 975.7MiB    5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          1.07%               21.95MiB / 975.7MiB   2.25%               49.8kB / 38.8kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        1.86%               28.75MiB / 975.7MiB   2.95%               2.59MB / 1.77MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.37%               23.58MiB / 975.7MiB   2.42%               278kB / 280kB       0B / 0B             0
68b2ef89e743        mavros_2_1          2.63%               59.01MiB / 975.7MiB   6.05%               16.7MB / 2.75MB     97MB / 0B           0
cfe92d1892a3        master_1_1          0.95%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.09%               49.9MiB / 975.7MiB    5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          0.99%               21.95MiB / 975.7MiB   2.25%               52kB / 40kB         0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        1.99%               28.75MiB / 975.7MiB   2.95%               2.59MB / 1.78MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.30%               23.58MiB / 975.7MiB   2.42%               278kB / 280kB       0B / 0B             0
68b2ef89e743        mavros_2_1          2.82%               59.01MiB / 975.7MiB   6.05%               16.7MB / 2.75MB     97MB / 0B           0
cfe92d1892a3        master_1_1          0.96%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.07%               49.9MiB / 975.7MiB    5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          0.93%               21.95MiB / 975.7MiB   2.25%               53.6kB / 40.9kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        2.01%               28.75MiB / 975.7MiB   2.95%               2.6MB / 1.78MB      3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.29%               23.58MiB / 975.7MiB   2.42%               278kB / 280kB       0B / 0B             0
68b2ef89e743        mavros_2_1          2.78%               59.01MiB / 975.7MiB   6.05%               16.7MB / 2.75MB     97MB / 0B           0
cfe92d1892a3        master_1_1          1.15%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.02%               49.9MiB / 975.7MiB    5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          0.85%               21.95MiB / 975.7MiB   2.25%               55kB / 41.7kB       0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        1.93%               28.75MiB / 975.7MiB   2.95%               2.6MB / 1.78MB      3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.32%               23.58MiB / 975.7MiB   2.42%               278kB / 280kB       0B / 0B             0
68b2ef89e743        mavros_2_1          3.13%               59.01MiB / 975.7MiB   6.05%               16.7MB / 2.76MB     97MB / 0B           0
cfe92d1892a3        master_1_1          0.98%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.02%               49.9MiB / 975.7MiB    5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          1.18%               21.95MiB / 975.7MiB   2.25%               56.9kB / 42.8kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        2.82%               28.75MiB / 975.7MiB   2.95%               2.61MB / 1.79MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.28%               23.58MiB / 975.7MiB   2.42%               278kB / 280kB       0B / 0B             0
68b2ef89e743        mavros_2_1          3.08%               59.01MiB / 975.7MiB   6.05%               16.8MB / 2.76MB     97MB / 0B           0
cfe92d1892a3        master_1_1          0.94%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.02%               49.9MiB / 975.7MiB    5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          0.65%               21.95MiB / 975.7MiB   2.25%               58.3kB / 43.5kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        1.71%               28.75MiB / 975.7MiB   2.95%               2.61MB / 1.79MB     3.05MB / 0B         0
b168af43f1ae        comm_3_1            0.33%               23.58MiB / 975.7MiB   2.42%               278kB / 280kB       0B / 0B             0
68b2ef89e743        mavros_2_1          2.39%               59.01MiB / 975.7MiB   6.05%               16.8MB / 2.76MB     97MB / 0B           0
cfe92d1892a3        master_1_1          0.90%               59.59MiB / 975.7MiB   6.11%               691kB / 364kB       45.6MB / 0B         0
612e53e59fe1        resin_supervisor    0.02%               49.9MiB / 975.7MiB    5.11%               0B / 0B             55.1MB / 49.2kB     0
CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
1147e93059d8        python_5_1          0.91%               21.95MiB / 975.7MiB   2.25%               59.8kB / 44.3kB     0B / 0B             0
b2e6bfd96d46        hwbridge_4_1        1.88%               28.75MiB / 975.7MiB   2.95%               2.61MB / 1.79MB     3.05MB / 0B         0
